area_id,name,category,story_stage,min_level,recommended_level,monster_codes,shop_pool,theme,description
dragon_vault,龍骨寶庫,dungeon,0,15,15,dragon_construct,endgame_shop,dragon,終盤高階副本與龍骨裝備來源。
frost_sanctum,霜鏡神殿,dungeon,0,11,11,frost_witch,capital_shop,frost,偏法系與冰凍控制的高階副本。
holy_ruins,聖域遺墟,dungeon,0,13,13,saint_fallen,capital_shop,sanctum,日月混合的高階聖域副本。
lava_depths,熔岩坑道,dungeon,0,10,10,lava_guardian,capital_shop,lava,高火傷與高攻怪物的熔岩副本。
mine_depths,礦坑深層,dungeon,0,4,4,mine_beast,frontier_shop,mine,地屬性與高防怪物出沒的副本。
moon_ruins,月咒遺跡,dungeon,0,7,7,moon_king,capital_shop,moon,月屬性與詛咒系敵人的副本。
storm_peaks,暴風峰巒,dungeon,0,12,12,storm_behemoth,capital_shop,storm,風雷屬性與高速戰鬥為主的副本。
ember_creek,餘燼溪谷,normal,0,3,3,ember_fox|river_sprite|stone_turtle|wind_hawk,frontier_shop,ember,有火水風地混雜生物的中前期野外區域。
green_fields,綠原平野,normal,0,1,1,slime|wild_rabbit|wolf|scarecrow,starter_shop,meadow,新手冒險者最先踏入的草原地帶。
highroad_ruins,古道遺址,normal,0,7,7,bandit_scout|grave_knight|forest_ent,capital_shop,ruins,中期強敵與精良裝備的來源區域。
twilight_marsh,暮色沼地,normal,0,5,5,moon_bat|sun_moth|thunder_lizard|poison_flower,frontier_shop,twilight,帶有異常與屬性威脅的危險濕地。
story_1,裂口之森,story,1,3,3,wolf_king,starter_shop,forest,主線第一章首領戰區域。
story_2,腐根林地,story,2,5,5,tree_spirit,frontier_shop,corrupted,主線第二章樹靈淨化戰。
story_3,砂暴峽口,story,3,6,6,desert_rex,frontier_shop,desert,主線第三章沙地暴君戰。
story_4,深潮海眼,story,4,8,8,sea_serpent,capital_shop,abyss,主線第四章深海巨蛇戰。
story_5,天穹裂谷,story,5,10,10,sky_tyrant,capital_shop,sky,主線第五章飛禽霸主戰。
story_6,蝕月墓園,story,6,12,12,moon_reaper,capital_shop,grave,主線第六章月蝕收割者戰。
story_7,日輪神壇,story,7,14,14,sun_hierophant,endgame_shop,sun,主線第七章日輪大祭司戰。
story_8,虛蝕龍域,story,8,18,18,void_dragon,endgame_shop,void,主線最終章虛蝕龍王戰。
